날짜,노선,최대지연시간
2022-01-03,2호선 (내선),5분
2022-01-03,2호선 (외선),10분
2022-01-03,3호선 (상행선),5분
2022-01-03,3호선 (하행선),10분
2022-01-03,4호선 (상행선),5분
2022-01-03,4호선 (하행선),10분
2022-01-04,1호선 (상행선),10분
2022-01-04,7호선 (부천구청행),10분
2022-01-04,7호선 (부천구청행),10분
2022-01-04,7호선 (온수행),10분
2022-01-04,7호선 (온수행),10분
2022-01-05,2호선 (외선),10분
2022-01-05,3호선 (상행선),5분
2022-01-05,3호선 (하행선),5분
2022-01-05,4호선 (상행선),5분
2022-01-05,4호선 (하행선),5분
2022-01-06,2호선 (내선),10분
2022-01-06,2호선 (외선),10분
2022-01-06,2호선 (외선),5분
2022-01-06,3호선 (상행선),5분
2022-01-06,3호선 (하행선),10분
2022-01-06,4호선 (상행선),10분
2022-01-06,4호선 (하행선),10분
2022-01-06,6호선 (봉화산행),10분
2022-01-06,6호선 (봉화산행),10분
2022-01-06,6호선 (응암순환행),10분
2022-01-06,6호선 (응암순환행),10분
2022-01-07,2호선 (외선),10분
2022-01-09,4호선 (상행선),5분
2022-01-10,2호선 (외선),5분
2022-01-10,3호선 (상행선),5분
2022-01-10,3호선 (하행선),5분
2022-01-10,4호선 (상행선),5분
2022-01-10,4호선 (하행선),5분
2022-01-10,7호선 (부천구청행),10분
2022-01-10,7호선 (부천구청행),10분
2022-01-10,7호선 (온수행),10분
2022-01-10,7호선 (온수행),10분
2022-01-10,7호선 (장암행),10분
2022-01-10,7호선 (장암행),10분
2022-01-11,2호선 (외선),10분
2022-01-11,3호선 (상행선),5분
2022-01-11,3호선 (하행선),5분
2022-01-11,4호선 (상행선),10분
2022-01-11,4호선 (하행선),10분
2022-01-12,1호선 (상행선),5분
2022-01-12,1호선 (하행선),5분
2022-01-12,2호선 (외선),10분
2022-01-12,3호선 (상행선),5분
2022-01-12,3호선 (하행선),5분
2022-01-12,4호선 (상행선),5분
2022-01-12,4호선 (하행선),10분
2022-01-12,5호선 (마천행),10분
2022-01-12,5호선 (마천행),10분
2022-01-12,5호선 (상일동행),10분
2022-01-12,5호선 (상일동행),10분
2022-01-13,1호선 (상행선),10분
2022-01-13,1호선 (하행선),5분
2022-01-13,2호선 (내선),10분
2022-01-13,2호선 (외선),10분
2022-01-13,3호선 (상행선),5분
2022-01-13,3호선 (하행선),10분
2022-01-13,4호선 (상행선),5분
2022-01-13,4호선 (하행선),10분
2022-01-13,6호선 (봉화산행),10분
2022-01-13,6호선 (응암순환행),10분
2022-01-13,7호선 (장암행),10분
2022-01-14,1호선 (하행선),10분
2022-01-14,2호선 (외선),5분
2022-01-14,3호선 (상행선),5분
2022-01-14,3호선 (하행선),5분
2022-01-14,4호선 (상행선),10분
2022-01-14,4호선 (하행선),10분
2022-01-14,5호선 (마천행),10분
2022-01-14,5호선 (상일동행),10분
2022-01-17,3호선 (상행선),5분
2022-01-17,3호선 (하행선),5분
2022-01-17,4호선 (상행선),5분
2022-01-17,4호선 (하행선),10분
2022-01-18,1호선 (상행선),10분
2022-01-18,1호선 (하행선),10분
2022-01-18,2호선 (외선),5분
2022-01-18,3호선 (상행선),5분
2022-01-18,3호선 (하행선),5분
2022-01-18,4호선 (상행선),10분
2022-01-18,4호선 (하행선),10분
2022-01-19,2호선 (외선),10분
2022-01-19,3호선 (상행선),5분
2022-01-19,3호선 (하행선),10분
2022-01-19,4호선 (상행선),5분
2022-01-19,4호선 (하행선),10분
2022-01-19,5호선 (마천행),5분
2022-01-19,5호선 (상일동행),5분
2022-01-20,2호선 (내선),10분
2022-01-20,2호선 (외선),10분
2022-01-20,3호선 (상행선),5분
2022-01-20,3호선 (하행선),5분
2022-01-20,4호선 (상행선),5분
2022-01-20,4호선 (하행선),10분
2022-01-21,3호선 (상행선),5분
2022-01-21,3호선 (하행선),5분
2022-01-21,4호선 (상행선),30분
2022-01-21,4호선 (상행선),30분
2022-01-21,4호선 (하행선),30분
2022-01-21,4호선 (하행선),30분
2022-01-24,1호선 (상행선),10분
2022-01-24,1호선 (하행선),10분
2022-01-24,2호선 (외선),15분
2022-01-24,3호선 (상행선),10분
2022-01-24,3호선 (하행선),5분
2022-01-24,4호선 (상행선),10분
2022-01-24,4호선 (하행선),10분
2022-01-25,3호선 (상행선),30분
2022-01-25,3호선 (상행선),5분
2022-01-25,3호선 (하행선),30분
2022-01-25,3호선 (하행선),5분
2022-01-25,4호선 (상행선),5분
2022-01-25,4호선 (하행선),10분
2022-01-25,7호선 (장암행),10분
2022-01-26,1호선 (상행선),5분
2022-01-26,1호선 (하행선),5분
2022-01-26,2호선 (외선),10분
2022-01-26,3호선 (상행선),5분
2022-01-26,3호선 (하행선),5분
2022-01-26,4호선 (상행선),5분
2022-01-26,4호선 (하행선),5분
2022-01-27,2호선 (외선),5분
2022-01-28,3호선 (상행선),5분
2022-01-28,3호선 (하행선),5분
2022-01-28,4호선 (상행선),25분
2022-01-28,4호선 (하행선),30분
2022-01-28,7호선 (부천구청행),5분
2022-01-28,7호선 (부천구청행),5분
2022-01-28,7호선 (온수행),5분
2022-01-28,7호선 (온수행),5분
2022-01-28,7호선 (장암행),5분
2022-01-28,7호선 (장암행),5분
2022-02-01,8호선 (암사행),5분
2022-02-03,2호선 (내선),30분
2022-02-03,2호선 (외선),20분
2022-02-03,3호선 (상행선),5분
2022-02-03,3호선 (하행선),10분
2022-02-03,4호선 (상행선),10분
2022-02-03,4호선 (하행선),10분
2022-02-04,2호선 (외선),10분
2022-02-04,3호선 (상행선),5분
2022-02-04,3호선 (하행선),10분
2022-02-04,4호선 (상행선),15분
2022-02-04,4호선 (하행선),15분
2022-02-04,8호선 (암사행),10분
2022-02-07,1호선 (하행선),5분
2022-02-07,2호선 (내선),5분
2022-02-07,2호선 (외선),10분
2022-02-07,3호선 (상행선),10분
2022-02-07,3호선 (하행선),25분
2022-02-07,4호선 (상행선),25분
2022-02-07,4호선 (하행선),20분
2022-02-07,7호선 (부천구청행),10분
2022-02-07,7호선 (부천구청행),10분
2022-02-07,7호선 (온수행),10분
2022-02-07,7호선 (온수행),10분
2022-02-07,7호선 (장암행),10분
2022-02-07,7호선 (장암행),10분
2022-02-08,2호선 (외선),5분
2022-02-08,3호선 (상행선),30분
2022-02-08,3호선 (상행선),30분
2022-02-08,3호선 (하행선),30분
2022-02-08,3호선 (하행선),30분
2022-02-08,4호선 (상행선),10분
2022-02-08,4호선 (하행선),10분
2022-02-09,3호선 (상행선),5분
2022-02-09,3호선 (하행선),5분
2022-02-09,4호선 (상행선),15분
2022-02-09,4호선 (하행선),10분
2022-02-09,5호선 (마천행),15분
2022-02-09,5호선 (마천행),20분
2022-02-09,5호선 (방화행),15분
2022-02-09,5호선 (방화행),20분
2022-02-09,5호선 (상일동행),15분
2022-02-09,5호선 (상일동행),20분
2022-02-10,2호선 (외선),5분
2022-02-10,3호선 (상행선),5분
2022-02-10,3호선 (하행선),10분
2022-02-10,4호선 (상행선),10분
2022-02-10,4호선 (하행선),10분
2022-02-10,5호선 (마천행),5분
2022-02-10,5호선 (방화행),10분
2022-02-10,5호선 (상일동행),5분
2022-02-11,1호선 (상행선),10분
2022-02-11,1호선 (하행선),5분
2022-02-11,2호선 (외선),10분
2022-02-11,3호선 (상행선),30분
2022-02-11,3호선 (상행선),5분
2022-02-11,3호선 (하행선),30분
2022-02-11,3호선 (하행선),5분
2022-02-11,4호선 (상행선),30분
2022-02-11,4호선 (하행선),30분
2022-02-14,3호선 (상행선),5분
2022-02-14,3호선 (하행선),5분
2022-02-14,4호선 (상행선),10분
2022-02-14,4호선 (하행선),10분
2022-02-14,5호선 (마천행),15분
2022-02-14,5호선 (방화행),20분
2022-02-14,5호선 (상일동행),15분
2022-02-14,7호선 (장암행),10분
2022-02-15,1호선 (상행선),5분
2022-02-15,1호선 (하행선),5분
2022-02-15,2호선 (외선),5분
2022-02-15,3호선 (상행선),5분
2022-02-15,3호선 (하행선),5분
2022-02-15,4호선 (상행선),10분
2022-02-15,4호선 (하행선),10분
2022-02-15,5호선 (마천행),10분
2022-02-15,5호선 (마천행),20분
2022-02-15,5호선 (방화행),10분
2022-02-15,5호선 (방화행),20분
2022-02-15,5호선 (상일동행),25분
2022-02-15,5호선 (상일동행),20분
2022-02-16,2호선 (외선),15분
2022-02-16,5호선 (방화행),15분
2022-02-18,3호선 (상행선),10분
2022-02-18,3호선 (하행선),5분
2022-02-18,4호선 (상행선),10분
2022-02-18,4호선 (하행선),10분
2022-02-21,2호선 (외선),10분
2022-02-21,3호선 (상행선),20분
2022-02-21,3호선 (하행선),20분
2022-02-21,4호선 (상행선),15분
2022-02-21,4호선 (하행선),15분
2022-02-22,3호선 (상행선),5분
2022-02-22,3호선 (하행선),5분
2022-02-22,4호선 (상행선),10분
2022-02-22,4호선 (하행선),15분
2022-02-22,5호선 (마천행),15분
2022-02-22,5호선 (방화행),15분
2022-02-22,5호선 (상일동행),15분
2022-02-23,1호선 (상행선),5분
2022-02-23,1호선 (하행선),5분
2022-02-23,2호선 (외선),20분
2022-02-23,3호선 (상행선),5분
2022-02-23,3호선 (하행선),15분
2022-02-23,4호선 (상행선),5분
2022-02-23,4호선 (하행선),10분
2022-02-23,6호선 (봉화산행),5분
2022-02-23,6호선 (봉화산행),5분
2022-02-23,6호선 (응암순환행),5분
