날짜,노선명,역명,승차총승객수,하차총승객수,총승하차인원,월
2020-01-01,공항철도 1호선,홍대입구,10405,9279,19684,1
2020-01-01,공항철도 1호선,서울역,14369,10789,25158,1
2020-01-01,9호선,고속터미널,9488,13501,22989,1
2020-01-01,8호선,잠실(송파구청),12712,13225,25937,1
2020-01-01,7호선,가산디지털단지,11215,10506,21721,1
2020-01-01,7호선,고속터미널,12492,8223,20715,1
2020-01-01,경의선,홍대입구,1582,1959,3541,1
2020-01-01,경의선,서울역,1309,969,2278,1
2020-01-01,1호선,서울역,36470,29895,66365,1
2020-01-01,분당선,선릉,2279,3268,5547,1
2020-01-01,경부선,가산디지털단지,4474,6236,10710,1
2020-01-01,경부선,서울역,6620,1051,7671,1
2020-01-01,4호선,사당,13276,11928,25204,1
2020-01-01,4호선,서울역,6182,14194,20376,1
2020-01-01,3호선,고속터미널,39526,34867,74393,1
2020-01-01,2호선,홍대입구,69202,61962,131164,1
2020-01-01,2호선,구로디지털단지,25130,25859,50989,1
2020-01-01,2호선,신림,36826,37845,74671,1
2020-01-01,2호선,사당,18983,20297,39280,1
2020-01-01,2호선,강남,39231,36768,75999,1
2020-01-01,2호선,선릉,11749,9965,21714,1
2020-01-01,2호선,잠실(송파구청),53799,48425,102224,1
2020-01-02,1호선,서울역,59502,53548,113050,1
2020-01-02,2호선,잠실(송파구청),88601,86659,175260,1
2020-01-02,2호선,선릉,63911,57187,121098,1
2020-01-02,2호선,강남,115263,116820,232083,1
2020-01-02,2호선,사당,41886,46697,88583,1
2020-01-02,2호선,신림,72865,71278,144143,1
2020-01-02,2호선,구로디지털단지,71079,70880,141959,1
2020-01-02,2호선,홍대입구,79840,85293,165133,1
2020-01-02,3호선,고속터미널,55884,51160,107044,1
2020-01-02,4호선,서울역,15397,23785,39182,1
2020-01-02,4호선,사당,28840,24227,53067,1
2020-01-02,경부선,서울역,7265,1645,8910,1
2020-01-02,경부선,가산디지털단지,20409,23292,43701,1
2020-01-02,분당선,선릉,13838,22412,36250,1
2020-01-02,경의선,서울역,4770,6230,11000,1
2020-01-02,경의선,홍대입구,2107,2536,4643,1
2020-01-02,경의선,서울역,1,0,1,1
2020-01-02,7호선,고속터미널,21345,17051,38396,1
2020-01-02,7호선,가산디지털단지,48928,49299,98227,1
2020-01-02,8호선,잠실(송파구청),17458,19917,37375,1
2020-01-02,9호선,고속터미널,14460,19400,33860,1
2020-01-02,공항철도 1호선,서울역,14563,11779,26342,1
2020-01-02,공항철도 1호선,홍대입구,12860,12436,25296,1
2020-01-03,1호선,서울역,66013,60775,126788,1
2020-01-03,2호선,잠실(송파구청),95193,92634,187827,1
2020-01-03,2호선,선릉,66502,59573,126075,1
2020-01-03,2호선,강남,126036,132511,258547,1
2020-01-03,2호선,사당,48252,53045,101297,1
2020-01-03,2호선,신림,76792,74880,151672,1
2020-01-03,2호선,구로디지털단지,73974,74596,148570,1
2020-01-03,2호선,홍대입구,89087,99670,188757,1
2020-01-03,3호선,고속터미널,62892,63136,126028,1
2020-01-03,4호선,서울역,16192,26730,42922,1
2020-01-03,4호선,사당,31954,27658,59612,1
2020-01-03,경부선,서울역,8504,1846,10350,1
2020-01-03,경부선,가산디지털단지,20529,23685,44214,1
2020-01-03,분당선,선릉,14556,23802,38358,1
2020-01-03,경의선,서울역,5170,6674,11844,1
2020-01-03,경의선,홍대입구,2376,3012,5388,1
2020-01-03,경의선,서울역,1,0,1,1
2020-01-03,7호선,고속터미널,23341,18503,41844,1
2020-01-03,7호선,가산디지털단지,49822,50314,100136,1
2020-01-03,8호선,잠실(송파구청),18719,21398,40117,1
2020-01-03,9호선,고속터미널,16228,22882,39110,1
2020-01-03,공항철도 1호선,서울역,16000,13245,29245,1
2020-01-03,공항철도 1호선,홍대입구,13732,14199,27931,1
2020-01-04,1호선,서울역,48376,46823,95199,1
2020-01-04,2호선,잠실(송파구청),81999,77313,159312,1
2020-01-04,2호선,선릉,30318,27003,57321,1
2020-01-04,2호선,강남,87333,93257,180590,1
2020-01-04,2호선,사당,39197,42750,81947,1
2020-01-04,2호선,신림,60576,58649,119225,1
2020-01-04,2호선,구로디지털단지,44203,43499,87702,1
2020-01-04,2호선,홍대입구,90634,102811,193445,1
2020-01-04,3호선,고속터미널,68676,67117,135793,1
2020-01-04,4호선,서울역,8812,20649,29461,1
2020-01-04,4호선,사당,26114,23011,49125,1
2020-01-04,경부선,서울역,8218,1538,9756,1
2020-01-04,경부선,가산디지털단지,6932,9446,16378,1
2020-01-04,분당선,선릉,6047,9958,16005,1
2020-01-04,경의선,서울역,1768,1893,3661,1
2020-01-04,경의선,홍대입구,2517,3111,5628,1
2020-01-04,7호선,고속터미널,20839,16063,36902,1
2020-01-04,7호선,가산디지털단지,17112,15715,32827,1
2020-01-04,8호선,잠실(송파구청),16162,18111,34273,1
2020-01-04,9호선,고속터미널,16148,24145,40293,1
2020-01-04,공항철도 1호선,서울역,14880,12779,27659,1
2020-01-04,공항철도 1호선,홍대입구,14817,14439,29256,1
2020-01-05,1호선,서울역,38247,34335,72582,1
2020-01-05,2호선,잠실(송파구청),59763,55702,115465,1
2020-01-05,2호선,선릉,15439,13520,28959,1
2020-01-05,2호선,강남,52620,51683,104303,1
2020-01-05,2호선,사당,26437,28988,55425,1
2020-01-05,2호선,신림,45798,45068,90866,1
2020-01-05,2호선,구로디지털단지,31980,31694,63674,1
2020-01-05,2호선,홍대입구,70489,70084,140573,1
2020-01-05,3호선,고속터미널,55120,52535,107655,1
2020-01-05,4호선,서울역,6567,15715,22282,1
2020-01-05,4호선,사당,18298,17166,35464,1
2020-01-05,경부선,서울역,7353,1255,8608,1
2020-01-05,경부선,가산디지털단지,5490,7663,13153,1
2020-01-05,분당선,선릉,2974,4676,7650,1
2020-01-05,경의선,서울역,1383,1269,2652,1
2020-01-05,경의선,홍대입구,1972,2370,4342,1
2020-01-05,7호선,고속터미널,16836,11758,28594,1
2020-01-05,7호선,가산디지털단지,12713,11763,24476,1
2020-01-05,8호선,잠실(송파구청),12197,13278,25475,1
2020-01-05,9호선,고속터미널,13050,18653,31703,1
2020-01-05,공항철도 1호선,서울역,14277,11073,25350,1
2020-01-05,공항철도 1호선,홍대입구,11792,10504,22296,1
2020-01-06,1호선,서울역,58509,54106,112615,1
2020-01-06,2호선,잠실(송파구청),85090,83547,168637,1
2020-01-06,2호선,선릉,69055,61369,130424,1
2020-01-06,2호선,강남,117522,118454,235976,1
2020-01-06,2호선,사당,43383,48242,91625,1
2020-01-06,2호선,신림,72858,71297,144155,1
2020-01-06,2호선,구로디지털단지,72750,72692,145442,1
2020-01-06,2호선,홍대입구,71697,75177,146874,1
2020-01-06,3호선,고속터미널,54701,51591,106292,1
2020-01-06,4호선,서울역,15150,23530,38680,1
2020-01-06,4호선,사당,29803,25102,54905,1
2020-01-06,경부선,서울역,6832,1686,8518,1
2020-01-06,경부선,가산디지털단지,20836,24326,45162,1
2020-01-06,분당선,선릉,15270,24661,39931,1
2020-01-06,경의선,서울역,4858,6400,11258,1
2020-01-06,경의선,홍대입구,1877,2309,4186,1
2020-01-06,경의선,서울역,1,0,1,1
2020-01-06,7호선,고속터미널,21153,17215,38368,1
2020-01-06,7호선,가산디지털단지,51719,51373,103092,1
2020-01-06,8호선,잠실(송파구청),17104,19032,36136,1
2020-01-06,9호선,고속터미널,14564,19485,34049,1
2020-01-06,공항철도 1호선,서울역,13217,11048,24265,1
2020-01-06,공항철도 1호선,홍대입구,11564,11218,22782,1
2020-01-07,1호선,서울역,56932,52709,109641,1
2020-01-07,2호선,잠실(송파구청),83156,82477,165633,1
2020-01-07,2호선,선릉,68443,60518,128961,1
2020-01-07,2호선,강남,115832,116538,232370,1
2020-01-07,2호선,사당,44077,47887,91964,1
2020-01-07,2호선,신림,71503,70124,141627,1
2020-01-07,2호선,구로디지털단지,71028,71465,142493,1
2020-01-07,2호선,홍대입구,68312,71304,139616,1
2020-01-07,3호선,고속터미널,52659,50550,103209,1
2020-01-07,4호선,서울역,15301,23591,38892,1
2020-01-07,4호선,사당,29655,25244,54899,1
2020-01-07,경부선,서울역,6449,1517,7966,1
2020-01-07,경부선,가산디지털단지,20052,23445,43497,1
2020-01-07,분당선,선릉,15502,24489,39991,1
2020-01-07,경의선,서울역,4601,5779,10380,1
2020-01-07,경의선,홍대입구,1788,2075,3863,1
2020-01-07,경의선,홍대입구,1,0,1,1
2020-01-07,7호선,고속터미널,20111,17107,37218,1
2020-01-07,7호선,가산디지털단지,51290,51012,102302,1
2020-01-07,8호선,잠실(송파구청),17114,19148,36262,1
2020-01-07,9호선,고속터미널,13470,18431,31901,1
2020-01-07,공항철도 1호선,서울역,12581,10603,23184,1
2020-01-07,공항철도 1호선,홍대입구,10744,10923,21667,1
2020-01-08,1호선,서울역,58754,53792,112546,1
2020-01-08,2호선,잠실(송파구청),89594,88027,177621,1
2020-01-08,2호선,선릉,69980,61984,131964,1
2020-01-08,2호선,강남,120178,120962,241140,1
2020-01-08,2호선,사당,46619,50787,97406,1
2020-01-08,2호선,신림,75033,72856,147889,1
2020-01-08,2호선,구로디지털단지,73576,73616,147192,1
2020-01-08,2호선,홍대입구,74819,79883,154702,1
2020-01-08,3호선,고속터미널,53961,51851,105812,1
2020-01-08,4호선,서울역,15588,23852,39440,1
2020-01-08,4호선,사당,31238,26477,57715,1
2020-01-08,경부선,서울역,6301,1509,7810,1
2020-01-08,경부선,가산디지털단지,20923,24065,44988,1
2020-01-08,분당선,선릉,15117,24527,39644,1
2020-01-08,경의선,서울역,4833,6342,11175,1
2020-01-08,경의선,홍대입구,2021,2454,4475,1
2020-01-08,7호선,고속터미널,20389,17237,37626,1
2020-01-08,7호선,가산디지털단지,50955,51111,102066,1
2020-01-08,8호선,잠실(송파구청),17803,20160,37963,1
2020-01-08,9호선,고속터미널,14675,19350,34025,1
2020-01-08,공항철도 1호선,서울역,12673,10792,23465,1
2020-01-08,공항철도 1호선,홍대입구,12092,11943,24035,1
2020-01-09,1호선,서울역,60442,56118,116560,1
2020-01-09,2호선,잠실(송파구청),93980,91824,185804,1
2020-01-09,2호선,선릉,70061,62554,132615,1
2020-01-09,2호선,강남,122108,122689,244797,1
2020-01-09,2호선,사당,48175,52514,100689,1
2020-01-09,2호선,신림,75995,73872,149867,1
2020-01-09,2호선,구로디지털단지,74410,74750,149160,1
2020-01-09,2호선,홍대입구,77947,82743,160690,1
2020-01-09,3호선,고속터미널,55859,54515,110374,1
2020-01-09,4호선,서울역,15727,24805,40532,1
2020-01-09,4호선,사당,31637,27159,58796,1
2020-01-09,경부선,서울역,6847,1587,8434,1
2020-01-09,경부선,가산디지털단지,21101,24259,45360,1
2020-01-09,분당선,선릉,15255,24816,40071,1
2020-01-09,경의선,서울역,4892,6351,11243,1
2020-01-09,경의선,홍대입구,2130,2600,4730,1
2020-01-09,경의선,서울역,1,0,1,1
2020-01-09,경의선,홍대입구,1,0,1,1
2020-01-09,7호선,고속터미널,20734,17341,38075,1
2020-01-09,7호선,가산디지털단지,50862,51370,102232,1
2020-01-09,8호선,잠실(송파구청),18350,20954,39304,1
2020-01-09,9호선,고속터미널,14992,20408,35400,1
2020-01-09,공항철도 1호선,서울역,12892,10708,23600,1
2020-01-09,공항철도 1호선,홍대입구,11889,12165,24054,1
2020-01-10,2호선,잠실(송파구청),96532,92917,189449,1
2020-01-10,2호선,선릉,70116,62468,132584,1
2020-01-10,2호선,강남,127610,134985,262595,1
2020-01-10,2호선,사당,52177,57311,109488,1
2020-01-10,2호선,신림,79361,77355,156716,1
2020-01-10,2호선,구로디지털단지,76485,76975,153460,1
2020-01-10,2호선,홍대입구,83173,95550,178723,1
2020-01-10,3호선,고속터미널,65813,66587,132400,1
2020-01-10,4호선,서울역,16448,27774,44222,1
2020-01-10,4호선,사당,34479,30333,64812,1
2020-01-10,경부선,서울역,9219,2039,11258,1
2020-01-10,경부선,가산디지털단지,21493,24648,46141,1
2020-01-10,분당선,선릉,15202,24680,39882,1
2020-01-10,1호선,서울역,69054,62678,131732,1
2020-01-10,경의선,서울역,5170,6715,11885,1
2020-01-10,경의선,홍대입구,2119,2813,4932,1
2020-01-10,7호선,고속터미널,24428,19582,44010,1
2020-01-10,7호선,가산디지털단지,51492,51422,102914,1
2020-01-10,8호선,잠실(송파구청),18664,21623,40287,1
2020-01-10,9호선,고속터미널,17055,23984,41039,1
2020-01-10,공항철도 1호선,서울역,15248,13439,28687,1
2020-01-10,공항철도 1호선,홍대입구,13201,14203,27404,1
2020-01-11,1호선,서울역,54012,52192,106204,1
2020-01-11,2호선,잠실(송파구청),87689,83099,170788,1
2020-01-11,2호선,선릉,33407,29629,63036,1
2020-01-11,2호선,강남,94848,101571,196419,1
2020-01-11,2호선,사당,44579,48835,93414,1
2020-01-11,2호선,신림,64764,62501,127265,1
2020-01-11,2호선,구로디지털단지,46475,46346,92821,1
2020-01-11,2호선,홍대입구,95907,110791,206698,1
2020-01-11,3호선,고속터미널,74941,74985,149926,1
2020-01-11,4호선,서울역,9654,23514,33168,1
2020-01-11,4호선,사당,29887,26716,56603,1
2020-01-11,경부선,서울역,9112,1717,10829,1
2020-01-11,경부선,가산디지털단지,7421,10119,17540,1
2020-01-11,분당선,선릉,6367,10703,17070,1
2020-01-11,경의선,서울역,1922,2198,4120,1
2020-01-11,경의선,홍대입구,2475,3310,5785,1
2020-01-11,경의선,서울역,1,0,1,1
2020-01-11,7호선,고속터미널,22977,16693,39670,1
2020-01-11,7호선,가산디지털단지,18338,16629,34967,1
